COMP,x,y,band1,band2,band3,band4,ndvi,N_Actual,P_Actual,K_Actual
GBSM,394,193,265,437,303,3321,0.8522030117,2.42,0.15,0.93
GBSM,393,395,243,425,292,3566,0.872407456,2.37,0.16,0.82
GBSM,393,193,265,440,307,3330,0.8525730181,2.44,0.15,1.15
GBSM,392,395,242,421,289,3561,0.8727320536,2.48,0.16,1.03
GBSM,391,254,259,462,292,3556,0.8642201835,2.07,0.14,1.06
GBSM,389,254,258,449,304,3666,0.868501529,2.27,0.15,0.97
GBSM,384,191,295,441,303,3352,0.8382231971,2.32,0.15,1.10
GBSM,382,191,292,445,318,3358,0.84,2.29,0.15,1.11
GBSM,372,253,235,401,286,3313,0.8675310034,2.72,0.16,1.45
GBSM,370,254,239,398,284,3308,0.8652382295,2.06,0.14,1.60
GBSM,372,338,296,468,337,3334,0.8369146005,2.54,0.17,1.26
GBSM,371,288,226,386,280,3337,0.8731406118,2.80,0.16,1.26
GBSM,371,427,261,414,290,3271,0.8522083805,2.62,0.16,1.29
GBSM,369,197,236,397,287,3133,0.8598990798,2.90,0.17,1.22
GBSM,369,395,259,429,290,3182,0.8494623656,2.42,0.15,1.43
GBSM,370,338,288,442,322,3239,0.8366884037,2.68,0.15,1.13
GBSM,369,393,270,466,302,3297,0.8486122792,2.53,0.15,1.26
GBSM,369,288,232,380,288,3240,0.866359447,2.99,0.18,0.82
GBSM,368,195,266,404,303,2619,0.8155979203,2.66,0.16,1.37
GBSM,369,427,258,413,289,3231,0.8521066208,2.65,0.16,1.02
GBSM,368,358,271,422,299,3245,0.845847554,2.67,0.16,1.13
GBSM,367,358,271,421,302,3170,0.8424876489,2.44,0.15,1.22
GBSM,366,436,269,443,300,3275,0.8481941309,2.59,0.16,1.02
GBSM,364,436,269,436,295,3329,0.8504724847,2.24,0.15,0.92
GBSM,358,215,248,408,289,3181,0.8553514144,2.69,0.15,1.22
GBSM,357,215,252,421,296,3279,0.8572642311,2.72,0.16,1.03
GBSM,355,189,282,427,309,2837,0.8191728118,2.51,0.15,1.31
GBSM,353,189,307,430,312,2774,0.8007140539,2.49,0.14,1.46
GBSM,349,312,272,433,309,3030,0.8352513628,2.84,0.17,1.09
GBSM,349,408,245,411,291,3088,0.8529852985,2.38,0.16,1.29
GBSM,348,371,234,396,296,3205,0.8639139285,2.17,0.15,1.08
GBSM,347,312,251,412,294,3088,0.8496555855,2.46,0.16,1.06
GBSM,347,408,250,418,295,3188,0.8545666085,2.54,0.16,1.05
GBSM,347,368,259,430,289,3492,0.8619034924,2.54,0.17,1.03
GBSM,346,277,266,437,286,3424,0.8558265583,2.84,0.18,1.16
GBSM,345,278,252,425,280,3257,0.856369336,2.72,0.16,1.16
GBSM,339,347,245,406,292,3361,0.8641153633,2.85,0.18,1.16
GBSM,337,427,98,195,192,643,0.7354925776,2.46,0.17,1.06
GBSM,333,199,239,403,286,3174,0.8599472605,2.54,0.18,1.30
GBSM,336,427,98,194,189,683,0.7490396927,2.46,0.16,0.78
GBSM,335,324,241,425,288,3150,0.8578590386,2.79,0.17,1.22
GBSM,334,358,265,440,291,3427,0.8564463705,2.48,0.17,1.27
GBSM,334,389,256,424,301,3310,0.8564217611,2.29,0.16,1.35
GBSM,332,199,245,400,295,3198,0.8576822538,2.55,0.17,1.15
GBSM,333,324,255,418,292,3304,0.8567013206,2.60,0.17,0.96
GBSM,333,388,258,428,296,3334,0.8563474388,2.42,0.16,1.03
GBSM,334,357,264,433,303,3424,0.8568329718,2.52,0.18,1.04
GBSM,333,224,260,417,297,3345,0.8557558946,2.79,0.17,1.32
GBSM,333,265,241,386,287,3114,0.8563338301,3.19,0.20,1.21
GBSM,332,224,257,421,300,3339,0.8570634038,2.79,0.16,1.27
GBSM,331,264,259,424,296,3122,0.8467908903,2.85,0.18,1.31
GBSM,319,266,279,449,303,3072,0.8334825425,2.25,0.18,0.73
GBSM,319,305,301,507,315,3424,0.8383892617,2.23,0.16,0.93
GBSM,318,369,258,418,306,3488,0.8622530699,2.87,0.17,1.44
GBSM,317,266,261,428,301,3120,0.8456078083,2.34,0.18,1.24
GBSM,317,305,300,531,319,3503,0.8422298186,2.29,0.18,0.74
GBSM,317,369,259,422,308,3506,0.8624169987,2.98,0.18,1.28
GBSM,316,320,302,457,306,3107,0.8228219419,2.54,0.16,1.21
GBSM,315,320,315,468,312,3176,0.8195359496,2.42,0.15,0.94
GBSM,314,342,262,421,290,3301,0.8529329217,2.53,0.16,1.30
GBSM,314,420,231,379,280,3120,0.8621307072,2.72,0.17,1.25
GBSM,313,342,243,410,294,3158,0.8571008527,2.29,0.16,0.90
GBSM,313,420,229,382,280,3193,0.8661601403,2.53,0.15,1.10
GBSM,308,335,242,405,284,3491,0.8703455666,2.40,0.16,1.12
GBSM,306,396,236,400,285,3352,0.8684503902,2.80,0.17,1.12
GBSM,304,425,248,410,301,3246,0.8580423583,2.91,0.17,1.21
GBSM,302,425,253,411,289,3260,0.8559635639,2.41,0.16,1.00
GBSM,295,274,252,419,296,3442,0.8635625338,2.51,0.18,1.11
GBSM,294,274,242,416,300,3473,0.869717362,2.46,0.17,1.02
GBSM,290,196,246,423,296,3433,0.8662680076,2.50,0.16,1.16
GBSM,289,196,250,427,298,3491,0.8663458968,2.54,0.16,1.25
GBSM,289,300,287,471,305,3398,0.8442333786,2.31,0.18,1.34
GBSM,288,385,231,405,288,3352,0.8710577728,2.84,0.18,0.94
GBSM,288,386,239,420,292,3438,0.8700027196,2.85,0.18,1.11
GBSM,287,300,272,451,296,3542,0.8573675931,2.50,0.17,1.19
GBSM,287,365,239,412,293,3384,0.8680651394,2.68,0.17,1.21
GBSM,286,331,249,449,293,3529,0.8681842245,2.43,0.16,1.33
GBSM,286,318,296,485,307,3402,0.8399134667,2.67,0.17,1.34
